K,policy,runtime_total_gap,runtime_EPR,estimated_recovery_cost_ms,mean_gap_per_request,mean_request_e2e_ms,source_artifact
1,FlowState,36864,0.64,1687.2676024213433,5266.285714285715,290.28720651487157,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k1_20260825_024558_296519
1,Global-LRU,90112,0.12,4150.0963845755905,12873.142857142857,561.9276919668274,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k1_20260825_024558_296519
1,Equal-Share,36864,0.64,1687.2676024213433,5266.285714285715,222.01566940306552,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k1_20260825_024558_296519
1,Recovery-Only,36864,0.64,1687.2676024213433,5266.285714285715,221.90743308913494,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k1_20260825_024558_296519
3,FlowState,8192,0.92,378.5894282627851,1170.2857142857142,189.5375280374927,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/snapshot_runtime_20260825_022400_327223
3,Global-LRU,65536,0.36,2999.0156502462924,9362.285714285714,438.1695944217167,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/snapshot_runtime_20260825_022400_327223
3,Equal-Share,12288,0.88,536.1868680920452,1755.4285714285713,96.79354564286768,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/snapshot_runtime_20260825_022400_327223
3,Recovery-Only,20480,0.8,914.7762963548303,2925.714285714286,137.0414706678795,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/snapshot_runtime_20260825_022400_327223
4,FlowState,0,1.0,0.0,0.0,43.224255055455224,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k4_20260825_024558_296519
4,Global-LRU,0,1.0,0.0,0.0,42.68943308852613,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k4_20260825_024558_296519
4,Equal-Share,0,1.0,0.0,0.0,43.299108444313916,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k4_20260825_024558_296519
4,Recovery-Only,12288,0.88,536.1868680920452,1755.4285714285713,95.1136671605387,/workspace/evaluation/controlled_multiworkflow_v1/artifacts/budget_runtime_k4_20260825_024558_296519
