workload,budget_checkpoints,flowstate_selection,oracle_selection,flowstate_objective_ms,oracle_objective_ms,absolute_regret_ms,relative_regret
controlled_v1,1,W1_PARENT,W1_PARENT,1431.649579168,1431.649579168,0.0,0.0
controlled_v1,2,W1_PARENT;W2_PARENT,W1_PARENT;W2_PARENT,777.817489312,777.817489312,0.0,0.0
controlled_v1,3,W1_PARENT;W2_PARENT;W4_PARENT,W1_PARENT;W2_PARENT;W4_PARENT,314.77062246400004,314.77062246400004,0.0,0.0
controlled_v1,4,W1_PARENT;W2_PARENT;W4_PARENT;W3_PARENT,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT,0.0,0.0,0.0,0.0
controlled_v1,5,W1_PARENT;W2_PARENT;W4_PARENT;W3_PARENT,W1_PARENT;W1_SHALLOW;W2_PARENT;W3_PARENT;W4_PARENT,0.0,0.0,0.0,0.0
scalable_n8,2,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN,W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,4404.25753968,4404.25753968,0.0,0.0
scalable_n8,4,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A08192_F04_MAIN,W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,1740.3474904,1740.3474904,0.0,0.0
scalable_n8,6,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A04096_F04_MAIN,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,469.11957808,469.11957808,0.0,0.0
scalable_n8,8,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A04096_F01_MAIN,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,0.0,0.0,0.0,0.0
scalable_n16,4,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F02_MAIN,W16_A16384_F08_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,13018.445859615995,13018.445859615995,0.0,0.0
scalable_n16,8,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F01_MAIN;W16_A16384_F02_MAIN,W16_A08192_F08_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,5172.460781343999,5172.460781343999,0.0,0.0
scalable_n16,12,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F01_MAIN;W16_A16384_F02_MAIN;W16_A08192_F04_MAIN;W16_A04096_F08_MAIN;W16_A16384_F01_MAIN;W16_A08192_F02_MAIN,W16_A04096_F08_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,1395.213311776,1395.213311776,0.0,0.0
scalable_n16,16,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F01_MAIN;W16_A16384_F02_MAIN;W16_A08192_F04_MAIN;W16_A04096_F08_MAIN;W16_A16384_F01_MAIN;W16_A08192_F02_MAIN;W16_A04096_F04_MAIN;W16_A08192_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F01_MAIN,W16_A04096_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F04_MAIN;W16_A04096_F08_MAIN;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,0.0,0.0,0.0,0.0
sota_signal,4,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,11914.722686976,11914.722686976,0.0,0.0
sota_signal,8,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN,W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,6295.412449279998,6295.412449279998,0.0,0.0
sota_signal,12,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN,W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN;W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,1259.0824898560002,1259.0824898560002,0.0,0.0
sota_signal,16,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN;W_A08192_F1_S1_Rold_MAIN;W_A08192_F1_S1_Rrecent_MAIN;W_A08192_F1_S3_Rold_MAIN;W_A08192_F1_S3_Rrecent_MAIN,W_A08192_F1_S1_Rold_MAIN;W_A08192_F1_S1_Rrecent_MAIN;W_A08192_F1_S3_Rold_MAIN;W_A08192_F1_S3_Rrecent_MAIN;W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN;W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,0.0,0.0,0.0,0.0
