workload,budget_checkpoints,policy_name,old_selection,new_selection,selection_changed,selection_jaccard,old_total_recovery_cost_ms,new_total_recovery_cost_ms,new_mean_recovery_cost_ms,new_total_recovery_gap_tokens,new_executable_hit_ratio
controlled_v1,1,FlowState,W1_PARENT,W1_PARENT,False,1.0,1687.2676024213433,1431.649579168,204.5213684525714,36864,0.64
controlled_v1,1,Global-LRU,W4_PARENT,W4_PARENT,False,1.0,4150.0963845755905,3778.2578311680004,539.7511187382858,90112,0.12
controlled_v1,1,Equal-Share,W1_PARENT,W1_PARENT,False,1.0,1687.2676024213433,1431.649579168,204.5213684525714,36864,0.64
controlled_v1,1,Recovery-Only,W1_PARENT,W1_PARENT,False,1.0,1687.2676024213433,1431.649579168,204.5213684525714,36864,0.64
controlled_v1,1,Workflow-Only,W4_PARENT,W4_PARENT,False,1.0,4150.0963845755905,3778.2578311680004,539.7511187382858,90112,0.12
controlled_v1,1,KVFlow-style,W4_PARENT,W4_PARENT,False,1.0,4150.0963845755905,3778.2578311680004,539.7511187382858,90112,0.12
controlled_v1,1,Marconi-style,W2_PARENT,W2_PARENT,False,1.0,3913.7919466011226,3587.4726081599997,512.49608688,86016,0.16
controlled_v1,1,Oracle,W1_PARENT,W1_PARENT,False,1.0,1687.2676024213433,1431.649579168,204.5213684525714,36864,0.64
controlled_v1,2,FlowState,W1_PARENT;W2_PARENT,W1_PARENT;W2_PARENT,False,1.0,914.7762963548303,777.817489312,111.11678418742858,20480,0.8
controlled_v1,2,Global-LRU,W4_PARENT;W3_PARENT,W4_PARENT;W3_PARENT,False,1.0,3771.5069563128054,3463.4872087040003,494.78388695771434,81920,0.2
controlled_v1,2,Equal-Share,W1_PARENT;W2_PARENT,W1_PARENT;W2_PARENT,False,1.0,914.7762963548303,777.817489312,111.11678418742858,20480,0.8
controlled_v1,2,Recovery-Only,W1_PARENT;W2_PARENT,W1_PARENT;W1_SHALLOW,True,0.3333333333333333,914.7762963548303,1431.649579168,204.5213684525714,36864,0.64
controlled_v1,2,Workflow-Only,W4_PARENT;W1_PARENT,W4_PARENT;W1_PARENT,False,1.0,1151.0807343292981,968.6027123199999,138.37181604571427,24576,0.76
controlled_v1,2,KVFlow-style,W4_PARENT;W3_PARENT,W4_PARENT;W3_PARENT,False,1.0,3771.5069563128054,3463.4872087040003,494.78388695771434,81920,0.2
controlled_v1,2,Marconi-style,W2_PARENT;W1_PARENT,W2_PARENT;W1_PARENT,False,1.0,914.7762963548303,777.817489312,111.11678418742858,20480,0.8
controlled_v1,2,Oracle,W1_PARENT;W2_PARENT,W1_PARENT;W2_PARENT,False,1.0,914.7762963548303,777.817489312,111.11678418742858,20480,0.8
controlled_v1,3,FlowState,W1_PARENT;W2_PARENT;W4_PARENT,W1_PARENT;W2_PARENT;W4_PARENT,False,1.0,378.5894282627851,314.77062246400004,44.96723178057143,8192,0.92
controlled_v1,3,Global-LRU,W4_PARENT;W3_PARENT;W2_PARENT,W4_PARENT;W3_PARENT;W2_PARENT,False,1.0,2999.0156502462924,2809.6551188480003,401.37930269257146,65536,0.36
controlled_v1,3,Equal-Share,W1_PARENT;W2_PARENT;W3_PARENT,W1_PARENT;W2_PARENT;W3_PARENT,False,1.0,536.1868680920452,463.0468668479999,66.14955240685713,12288,0.88
controlled_v1,3,Recovery-Only,W1_PARENT;W2_PARENT;W1_SHALLOW,W1_PARENT;W1_SHALLOW;W2_PARENT,False,1.0,914.7762963548303,777.817489312,111.11678418742858,20480,0.8
controlled_v1,3,Workflow-Only,W4_PARENT;W1_PARENT;W2_PARENT,W4_PARENT;W1_PARENT;W2_PARENT,False,1.0,378.5894282627851,314.77062246400004,44.96723178057143,8192,0.92
controlled_v1,3,KVFlow-style,W4_PARENT;W3_PARENT;W2_PARENT,W4_PARENT;W3_PARENT;W2_PARENT,False,1.0,2999.0156502462924,2809.6551188480003,401.37930269257146,65536,0.36
controlled_v1,3,Marconi-style,W2_PARENT;W1_PARENT;W3_PARENT,W2_PARENT;W1_PARENT;W3_PARENT,False,1.0,536.1868680920452,463.0468668479999,66.14955240685713,12288,0.88
controlled_v1,3,Oracle,W1_PARENT;W2_PARENT;W4_PARENT,W1_PARENT;W2_PARENT;W4_PARENT,False,1.0,378.5894282627851,314.77062246400004,44.96723178057143,8192,0.92
controlled_v1,4,FlowState,W1_PARENT;W2_PARENT;W4_PARENT;W3_PARENT,W1_PARENT;W2_PARENT;W4_PARENT;W3_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,4,Global-LRU,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,4,Equal-Share,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,4,Recovery-Only,W1_PARENT;W2_PARENT;W1_SHALLOW;W3_PARENT,W1_PARENT;W1_SHALLOW;W2_PARENT;W3_PARENT,False,1.0,536.1868680920452,463.0468668479999,66.14955240685713,12288,0.88
controlled_v1,4,Workflow-Only,W4_PARENT;W1_PARENT;W2_PARENT;W3_PARENT,W4_PARENT;W1_PARENT;W2_PARENT;W3_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,4,KVFlow-style,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,4,Marconi-style,W2_PARENT;W1_PARENT;W3_PARENT;W1_SHALLOW,W2_PARENT;W1_PARENT;W3_PARENT;W1_SHALLOW,False,1.0,536.1868680920452,463.0468668479999,66.14955240685713,12288,0.88
controlled_v1,4,Oracle,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,FlowState,W1_PARENT;W2_PARENT;W4_PARENT;W3_PARENT,W1_PARENT;W2_PARENT;W4_PARENT;W3_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,Global-LRU,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT;W1_SHALLOW,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT;W1_SHALLOW,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,Equal-Share,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT;W1_SHALLOW,W1_PARENT;W2_PARENT;W3_PARENT;W4_PARENT;W1_SHALLOW,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,Recovery-Only,W1_PARENT;W2_PARENT;W1_SHALLOW;W3_PARENT;W4_PARENT,W1_PARENT;W1_SHALLOW;W2_PARENT;W3_PARENT;W4_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,Workflow-Only,W4_PARENT;W1_PARENT;W2_PARENT;W3_PARENT,W4_PARENT;W1_PARENT;W2_PARENT;W3_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,KVFlow-style,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT;W1_SHALLOW,W4_PARENT;W3_PARENT;W2_PARENT;W1_PARENT;W1_SHALLOW,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,Marconi-style,W2_PARENT;W1_PARENT;W3_PARENT;W1_SHALLOW;W4_PARENT,W2_PARENT;W1_PARENT;W3_PARENT;W1_SHALLOW;W4_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
controlled_v1,5,Oracle,W1_PARENT;W1_SHALLOW;W2_PARENT;W3_PARENT;W4_PARENT,W1_PARENT;W1_SHALLOW;W2_PARENT;W3_PARENT;W4_PARENT,False,1.0,0.0,0.0,0.0,0,1.0
scalable_n8,2,FlowState,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN,False,1.0,5058.591052656993,4404.25753968,220.21287698400002,110592,0.64
scalable_n8,2,Global-LRU,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,False,1.0,7421.539757866412,6357.1598101439995,317.8579905072,159744,0.48
scalable_n8,2,Equal-Share,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN,False,1.0,13252.942797262222,11867.15135872,593.357567936,286720,0.06666666666666667
scalable_n8,2,Recovery-Only,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,False,1.0,6649.048451799899,5614.758339679999,280.737916984,143360,0.5333333333333333
scalable_n8,2,Workflow-Only,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN,False,1.0,11917.314040241763,10762.41782448,538.120891224,258048,0.16
scalable_n8,2,KVFlow-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,False,1.0,7421.539757866412,6357.1598101439995,317.8579905072,159744,0.48
scalable_n8,2,Marconi-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,False,1.0,7421.539757866412,6357.1598101439995,317.8579905072,159744,0.48
scalable_n8,2,Oracle,W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,False,1.0,5058.591052656993,4404.25753968,220.21287698400002,110592,0.64
scalable_n8,4,FlowState,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A08192_F04_MAIN;W08_A32768_F01_MAIN,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A08192_F04_MAIN,False,1.0,2044.7255144827068,1740.3474904,87.01737452,45056,0.8533333333333334
scalable_n8,4,Global-LRU,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,False,1.0,3559.083227533847,2999.4299802560004,149.97149901280002,77824,0.7466666666666667
scalable_n8,4,Equal-Share,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN,False,1.0,11359.995655948296,10293.298246400002,514.6649123200001,245760,0.2
scalable_n8,4,Recovery-Only,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A16384_F01_MAIN,True,0.6,2786.591921467334,4960.926249824,248.04631249119998,126976,0.5866666666666667
scalable_n8,4,Workflow-Only,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,False,1.0,2829.317515483126,2527.77922736,126.388961368,61440,0.8
scalable_n8,4,KVFlow-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,False,1.0,3559.083227533847,2999.4299802560004,149.97149901280002,77824,0.7466666666666667
scalable_n8,4,Marconi-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,False,1.0,3559.083227533847,2999.4299802560004,149.97149901280002,77824,0.7466666666666667
scalable_n8,4,Oracle,W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,False,1.0,2044.7255144827068,1740.3474904,87.01737452,45056,0.8533333333333334
scalable_n8,6,FlowState,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A08192_F04_MAIN;W08_A32768_F01_MAIN;W08_A16384_F01_MAIN;W08_A04096_F04_MAIN,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A04096_F04_MAIN,False,1.0,557.3183842934668,469.11957808,23.455978904,12288,0.96
scalable_n8,6,Global-LRU,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN;W08_A16384_F01_SHALLOW;W08_A16384_F01_MAIN,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN;W08_A16384_F01_SHALLOW;W08_A16384_F01_MAIN,False,1.0,2786.591921467334,2345.5978904000003,117.27989452000001,61440,0.8
scalable_n8,6,Equal-Share,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN,False,1.0,7497.539125615731,7024.137797120001,351.20688985600003,163840,0.4666666666666667
