budget_ratio,policy,snapshot_count,pending_count,mean_total_recovery_cost_ms_per_snapshot,median_total_recovery_cost_ms_per_snapshot,mean_recovery_cost_ms_per_pending,total_recovery_gap_tokens,mean_recovery_gap_tokens,executable_hit_count,executable_hit_ratio,mean_selection_overhead_ms
0.25,Global-LRU,105,262,4099.607753060427,3701.744536924302,1642.9725727913926,8737530,33349.35114503817,104,0.3969465648854962,0.02514596895447799
0.25,KVFlow-style,105,262,4091.1034729690364,3701.744536924302,1639.5643689379726,8715694,33266.00763358779,105,0.40076335877862596,0.08621681925086748
0.25,Marconi-style,105,262,4580.144787390863,4062.511016423913,1835.5542086871778,9719919,37098.92748091603,29,0.11068702290076336,0.07566686143122968
0.25,FlowState,105,262,2940.443447662324,2160.748608979885,1178.4219923837559,6601817,25197.774809160306,105,0.40076335877862596,0.1434978452466783
0.5,Global-LRU,105,262,3689.894451981067,3511.835096754947,1478.77449411455,7825605,29868.721374045803,124,0.4732824427480916,0.01873296153332506
0.5,KVFlow-style,105,262,3681.3901718896764,3511.835096754947,1475.3662902611297,7803769,29785.37786259542,125,0.4770992366412214,0.0724653159046457
0.5,Marconi-style,105,262,4266.521399694529,3900.859031607715,1709.8654464424635,8985796,34296.931297709925,32,0.12213740458015267,0.07169918334555059
0.5,FlowState,105,262,2540.2510309193694,1933.7833468794875,1018.0395352921137,5692028,21725.297709923663,126,0.48091603053435117,0.18257796320886838
0.75,Global-LRU,105,262,3383.440345020345,3335.7167857064796,1355.9589168974665,7140158,27252.51145038168,139,0.5305343511450382,0.01767900816741444
0.75,KVFlow-style,105,262,3334.5389913343674,3298.895441814761,1336.3610461454525,7028482,26826.26717557252,142,0.5419847328244275,0.07045173219272069
0.75,Marconi-style,105,262,3883.573950510064,3575.716538018838,1556.3941404715906,8127929,31022.629770992367,39,0.14885496183206107,0.07013359905353614
0.75,FlowState,105,262,2143.8017249575682,1521.3069642165854,859.1571798494072,4789443,18280.31679389313,148,0.5648854961832062,0.21208323360908599
1.0,Global-LRU,105,262,1972.5747953186471,1128.656321302119,790.5357004139616,4107745,15678.41603053435,195,0.7442748091603053,0.017252196336076372
1.0,KVFlow-style,105,262,1723.8625580874918,893.9809483966076,690.8609488518574,3590524,13704.290076335878,202,0.7709923664122137,0.07081540700580392
1.0,Marconi-style,105,262,2701.8507646671906,2176.173111347278,1082.8027873666222,5584853,21316.23282442748,92,0.3511450381679389,0.0694618338630313
1.0,FlowState,105,262,0.0,0.0,0.0,0,0.0,262,1.0,0.37311625312126817
