segment,budget_ratio,snapshot_count,flowstate_mean_cost_ms,marconi_mean_cost_ms,flow_vs_marconi_relative_cost_reduction,win_count,tie_count,loss_count
Small,0.25,60,2203.5470267703627,3679.1953768060916,0.4010790944504662,53,7,0
Small,0.5,60,2203.5470267703627,3679.1953768060916,0.4010790944504662,53,7,0
Small,0.75,60,1995.3118051128226,3538.0449754677875,0.436041141662138,55,5,0
Small,1.0,60,0.0,2234.042365334368,1.0,55,5,0
Medium,0.25,38,4347.631206387985,6270.698927521779,0.3066751798102677,35,3,0
Medium,0.5,38,3241.8363706508735,5404.10798783454,0.4001162859904476,36,2,0
Medium,0.75,38,2475.1767962683284,4568.832775095842,0.4582474522245115,37,1,0
Medium,1.0,38,0.0,3445.723408228226,1.0,37,1,0
Large,0.25,7,1617.6792222255488,3125.274403121066,0.4823880998705112,7,0,0
Large,0.5,7,1617.6792222255488,3125.274403121066,0.4823880998705112,7,0,0
Large,0.75,7,1617.6792222255488,3125.274403121066,0.4823880998705112,7,0,0
Large,1.0,7,0.0,2673.4712653314773,1.0,7,0,0
