budget_ratio,baseline,snapshot_count,win_count,tie_count,loss_count,win_fraction,tie_fraction,loss_fraction,mean_absolute_cost_reduction_ms,aggregate_relative_cost_reduction
0.25,Global-LRU,105,63,42,0,0.6,0.4,0.0,1159.1643053981031,0.28275005200991904
0.25,KVFlow-style,105,63,42,0,0.6,0.4,0.0,1150.6600253067122,0.281259086432161
0.25,Marconi-style,105,95,10,0,0.9047619047619048,0.09523809523809523,0.0,1639.7013397285384,0.35800207544587587
0.5,Global-LRU,105,63,42,0,0.6,0.4,0.0,1149.6434210616976,0.31156539462652266
0.5,KVFlow-style,105,63,42,0,0.6,0.4,0.0,1141.139140970307,0.3099750604225019
0.5,Marconi-style,105,96,9,0,0.9142857142857143,0.08571428571428572,0.0,1726.270368775159,0.4046083933620385
0.75,Global-LRU,105,63,42,0,0.6,0.4,0.0,1239.6386200627767,0.36638406286289127
0.75,KVFlow-style,105,62,43,0,0.5904761904761905,0.4095238095238095,0.0,1190.7372663767992,0.3570920206574964
0.75,Marconi-style,105,99,6,0,0.9428571428571428,0.05714285714285714,0.0,1739.772225552496,0.44798225750896187
1.0,Global-LRU,105,63,42,0,0.6,0.4,0.0,1972.5747953186471,1.0
1.0,KVFlow-style,105,56,49,0,0.5333333333333333,0.4666666666666667,0.0,1723.8625580874918,1.0
1.0,Marconi-style,105,99,6,0,0.9428571428571428,0.05714285714285714,0.0,2701.8507646671906,1.0
