budget_ratio,policy,executable_hit_ratio
0.25,Global-LRU,0.3969465648854962
0.25,KVFlow-style,0.40076335877862596
0.25,Marconi-style,0.11068702290076336
0.25,FlowState,0.40076335877862596
0.5,Global-LRU,0.4732824427480916
0.5,KVFlow-style,0.4770992366412214
0.5,Marconi-style,0.12213740458015267
0.5,FlowState,0.48091603053435117
0.75,Global-LRU,0.5305343511450382
0.75,KVFlow-style,0.5419847328244275
0.75,Marconi-style,0.14885496183206107
0.75,FlowState,0.5648854961832062
1.0,Global-LRU,0.7442748091603053
1.0,KVFlow-style,0.7709923664122137
1.0,Marconi-style,0.3511450381679389
1.0,FlowState,1.0
