cohort,snapshot_id,provider,concurrency_bucket,x,candidate_count,pending_count,budget_ratio,budget_k,policy,selected_checkpoint_ids,selected_count,total_recovery_gap_tokens,mean_recovery_gap_tokens,total_formal_recovery_cost_ms,mean_formal_recovery_cost_ms,executable_hit_count,executable_hit_ratio,selection_overhead_ms,continuation_results
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.25,1,Global-LRU,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.07462804205715656,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.25,1,KVFlow-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.12119696475565434,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.25,1,Marconi-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000190""]",1,55925,27962.5,2610.1587556509526,1305.0793778254763,0,0.0,0.061420025303959846,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 43789, ""executable_hit"": false, ""formal_recovery_cost_ms"": 318.4958421762498, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 6068, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.25,1,FlowState,"[""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:checkpoint:round:00000003""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.08284789510071278,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.5,1,Global-LRU,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.013861805200576782,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.5,1,KVFlow-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.03436603583395481,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.5,1,Marconi-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000190""]",1,55925,27962.5,2610.1587556509526,1305.0793778254763,0,0.0,0.03737397491931915,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 43789, ""executable_hit"": false, ""formal_recovery_cost_ms"": 318.4958421762498, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 6068, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.5,1,FlowState,"[""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:checkpoint:round:00000003""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.05204998888075352,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.75,1,Global-LRU,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.010435935109853745,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.75,1,KVFlow-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.0314831268042326,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
