budget_ratio,policy,snapshot_count,pending_count,mean_total_recovery_cost_ms_per_snapshot,median_total_recovery_cost_ms_per_snapshot,mean_recovery_cost_ms_per_pending,total_recovery_gap_tokens,mean_recovery_gap_tokens,executable_hit_count,executable_hit_ratio,mean_selection_overhead_ms,flow_vs_marconi_relative_cost_reduction,flow_vs_marconi_win_count,flow_vs_marconi_tie_count,flow_vs_marconi_loss_count
0.25,Global-LRU,37,174,9299.399356877026,9086.391801701742,1977.4584839336203,7127303,40961.511494252874,37,0.21264367816091953,0.02071253225408696,,,,
0.25,KVFlow-style,37,174,9299.399356877026,9086.391801701742,1977.4584839336203,7127303,40961.511494252874,37,0.21264367816091953,0.07255654782056808,,,,
0.25,Marconi-style,37,174,9135.293006381684,7925.34133685458,1942.5623059547258,7031441,40410.58045977011,14,0.08045977011494253,0.06352568901068456,,,,
0.25,FlowState,37,174,8387.212978688378,7593.755555265685,1783.4878173072989,6583746,37837.620689655174,37,0.21264367816091953,0.19571010174380765,0.0818890020463181,27,10,0
0.5,Global-LRU,37,174,6634.644129903103,5950.779764889334,1410.8151310713495,5067686,29124.632183908045,78,0.4482758620689655,0.017073156463133322,,,,
0.5,KVFlow-style,37,174,6634.644129903103,5950.779764889334,1410.8151310713495,5067686,29124.632183908045,78,0.4482758620689655,0.06805941135295339,,,,
0.5,Marconi-style,37,174,6679.219398052289,6057.5945344678275,1420.2937800456018,5105959,29344.591954022988,29,0.16666666666666666,0.06121689629917209,,,,
0.5,FlowState,37,174,5013.875425230107,4348.752203254962,1066.1689122615746,3996975,22971.120689655174,85,0.4885057471264368,0.43549746702853087,0.24933212604272417,32,5,0
0.75,Global-LRU,37,174,5118.910740599355,4591.576045282694,1088.5040080584836,3886303,22335.07471264368,102,0.5862068965517241,0.016157571981484826,,,,
0.75,KVFlow-style,37,174,5094.749093345393,4591.576045282694,1083.3661865159745,3864444,22209.44827586207,103,0.5919540229885057,0.06704108563025256,,,,
0.75,Marconi-style,37,174,4750.107049501608,5154.658481125178,1010.0802346641352,3618999,20798.844827586207,50,0.28735632183908044,0.06044878171303788,,,,
0.75,FlowState,37,174,2554.3023967429767,2315.1757371496774,543.156256778679,2069812,11895.471264367816,124,0.7126436781609196,0.6318534472705545,0.46226424581084347,33,4,0
1.0,Global-LRU,37,174,2918.146516239278,1128.656321302119,620.5254086255936,2160157,12414.69540229885,138,0.7931034482758621,0.01601415459771414,,,,
1.0,KVFlow-style,37,174,2817.124951813922,1128.656321302119,599.0438115926156,2085952,11988.229885057472,139,0.7988505747126436,0.07759884780121816,,,,
1.0,Marconi-style,37,174,2434.6915076003365,2022.6372696987266,517.72175736329,1819939,10459.419540229885,80,0.45977011494252873,0.06195284250016148,,,,
1.0,FlowState,37,174,0.0,0.0,0.0,0,0.0,174,1.0,0.8822137338889612,1.0,31,6,0
