segment,budget_ratio,snapshot_count,flowstate_mean_cost_ms,marconi_mean_cost_ms,flow_vs_marconi_relative_cost_reduction,win_count,tie_count,loss_count,mean_candidate_count,mean_budget_k
X=2,0.25,83,2119.711519718983,3970.4644331322243,0.4661300824078199,79,4,0,31.542168674698797,1
X=2,0.5,83,2119.711519718983,3970.4644331322243,0.4661300824078199,79,4,0,31.542168674698797,1
X=2,0.75,83,2119.711519718983,3970.4644331322243,0.4661300824078199,79,4,0,31.542168674698797,1
X=2,1.0,83,0.0,2947.5822550170974,1.0,79,4,0,31.542168674698797,2
X=3,0.25,9,3484.202015280445,5233.548884670221,0.3342563350299167,6,3,0,17,1
X=3,0.5,9,3484.202015280445,5233.548884670221,0.3342563350299167,6,3,0,17,1
X=3,0.75,9,1270.3640222892077,2689.236013111773,0.5276115535805121,8,1,0,17,2
X=3,1.0,9,0.0,2137.77744808494,1.0,8,1,0,17,3
X>=4,0.25,13,7804.05290233419,8020.3626741564585,0.02697007362513316,10,3,0,21.615384615384617,1
X>=4,0.5,13,4571.729536333402,5487.250696609145,0.16684514903638178,11,2,0,21.615384615384617,2.6153846153846154
X>=4,0.75,13,2902.29606025125,4155.660979659706,0.301604227472639,12,1,0,21.615384615384617,3.6153846153846154
X>=4,1.0,13,0.0,1523.4620069901123,1.0,12,1,0,21.615384615384617,5.3076923076923075
