scenario,K,policy,gap_tokens,sample_count,weighted_request_count,ttft_weighted_mean_ms,ttft_weighted_median_ms,ttft_weighted_p95_ms
scalable_multiworkflow_v2_n16,4,FlowState,0,20,220.0,41.84315423636363,39.087457,40.779171
scalable_multiworkflow_v2_n16,4,FlowState,4096,10,150.0,167.7223688,166.847288,169.918952
scalable_multiworkflow_v2_n16,4,FlowState,8192,10,150.0,327.8813867,327.451884,332.051857
scalable_multiworkflow_v2_n16,4,FlowState,16384,10,70.0,658.3899941999999,656.917975,666.075216
scalable_multiworkflow_v2_n16,4,FlowState,32768,10,10.0,1456.3853099,1460.580078,1463.299173
scalable_multiworkflow_v2_n16,4,Global-LRU,0,10,140.0,40.046554099999994,39.854045,42.579702
scalable_multiworkflow_v2_n16,4,Global-LRU,4096,10,150.0,166.5953438,165.925123,169.106981
scalable_multiworkflow_v2_n16,4,Global-LRU,8192,10,150.0,325.44744690000005,325.369853,328.998834
scalable_multiworkflow_v2_n16,4,Global-LRU,16384,20,160.0,662.778916525,658.249808,736.347345
scalable_multiworkflow_v2_n16,4,KVFlow-style,0,10,140.0,39.181133700000004,38.955638,40.718313
scalable_multiworkflow_v2_n16,4,KVFlow-style,4096,10,150.0,165.9110211,165.718393,167.82707
scalable_multiworkflow_v2_n16,4,KVFlow-style,8192,10,150.0,325.292276,324.982599,332.279406
scalable_multiworkflow_v2_n16,4,KVFlow-style,16384,20,160.0,666.46497970625,661.489434,739.865207
scalable_multiworkflow_v2_n16,4,Marconi-style,0,10,140.0,39.1635358,38.933766,40.44042
scalable_multiworkflow_v2_n16,4,Marconi-style,4096,10,150.0,166.22303490000002,166.154249,167.669987
scalable_multiworkflow_v2_n16,4,Marconi-style,8192,10,150.0,327.8432655,327.56653,333.712541
scalable_multiworkflow_v2_n16,4,Marconi-style,16384,20,160.0,666.45286006875,662.639069,740.009649
sota_signal_stress_v1,8,FlowState,0,10,200.0,39.5058313,38.803829,41.263091
sota_signal_stress_v1,8,FlowState,8192,10,200.0,328.2244057,326.469438,334.685454
sota_signal_stress_v1,8,Global-LRU,0,20,200.0,38.928597450000005,38.821587,40.101846
sota_signal_stress_v1,8,Global-LRU,8192,10,100.0,327.6006364,326.2577,332.238773
sota_signal_stress_v1,8,Global-LRU,32768,10,100.0,1463.5747036999999,1463.631721,1472.949967
sota_signal_stress_v1,8,KVFlow-style,0,20,200.0,38.77857575,38.301068,40.151168
sota_signal_stress_v1,8,KVFlow-style,8192,10,100.0,328.3380181,328.506364,334.301819
sota_signal_stress_v1,8,KVFlow-style,32768,10,100.0,1462.9537450999999,1463.88003,1479.033186
sota_signal_stress_v1,8,Marconi-style,0,10,200.0,39.8218526,39.281494,42.692755
sota_signal_stress_v1,8,Marconi-style,8192,10,200.0,330.2674045,329.315815,335.185797
