case_id,scenario,K,policy,continuation_id,equivalence_class,class_multiplicity,repetition,execution_order_position,is_warmup,planning_H,planning_E,planning_G,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,snapshot_build_ms,reconcile_ms,correctness_pass,safety_pass,retry_count,status,failure_stage,error,selected_checkpoint_ids,actual_selected_checkpoint_ids,evicted_checkpoint_ids,safety_flags
formal_warmup_0001_scalable_multiworkflow_v2_n16_k4_kvflow_style_r00_w16_a04096_f01_b1,scalable_multiworkflow_v2_n16,4,KVFlow-style,W16_A04096_F01-B1,scalable_multiworkflow_v2_n16:K=4:KVFlow-style:T=4096:E=0:G=4096,15,0,0,True,4096,0,4096,4096,0,4096,166.365225,166.637036,39940.39909,2799.172829,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0002_scalable_multiworkflow_v2_n16_k4_kvflow_style_r00_w16_a08192_f01_b1,scalable_multiworkflow_v2_n16,4,KVFlow-style,W16_A08192_F01-B1,scalable_multiworkflow_v2_n16:K=4:KVFlow-style:T=8192:E=0:G=8192,15,0,0,True,8192,0,8192,8192,0,8192,322.271901,322.562597,14285.50042,2314.01869,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0003_scalable_multiworkflow_v2_n16_k4_kvflow_style_r00_w16_a16384_f01_b1,scalable_multiworkflow_v2_n16,4,KVFlow-style,W16_A16384_F01-B1,scalable_multiworkflow_v2_n16:K=4:KVFlow-style:T=16384:E=0:G=16384,15,0,0,True,16384,0,16384,16384,0,16384,650.648448,650.989274,13706.880049,2578.215601,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0004_scalable_multiworkflow_v2_n16_k4_kvflow_style_r00_w16_a32768_f01_b1,scalable_multiworkflow_v2_n16,4,KVFlow-style,W16_A32768_F01-B1,scalable_multiworkflow_v2_n16:K=4:KVFlow-style:T=32768:E=16384:G=16384,1,0,0,True,32768,16384,16384,32768,16384,16384,740.157548,740.339298,14186.057107,3649.279135,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0005_scalable_multiworkflow_v2_n16_k4_kvflow_style_r00_w16_a32768_f02_b1,scalable_multiworkflow_v2_n16,4,KVFlow-style,W16_A32768_F02-B1,scalable_multiworkflow_v2_n16:K=4:KVFlow-style:T=32768:E=32768:G=0,14,0,0,True,32768,32768,0,32768,32768,0,118.732805,119.208047,15335.096426,1976.098511,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0006_scalable_multiworkflow_v2_n16_k4_marconi_style_r00_w16_a04096_f01_b1,scalable_multiworkflow_v2_n16,4,Marconi-style,W16_A04096_F01-B1,scalable_multiworkflow_v2_n16:K=4:Marconi-style:T=4096:E=0:G=4096,15,0,1,True,4096,0,4096,4096,0,4096,165.229473,165.494977,12352.531448,1942.654767,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0007_scalable_multiworkflow_v2_n16_k4_marconi_style_r00_w16_a08192_f01_b1,scalable_multiworkflow_v2_n16,4,Marconi-style,W16_A08192_F01-B1,scalable_multiworkflow_v2_n16:K=4:Marconi-style:T=8192:E=0:G=8192,15,0,1,True,8192,0,8192,8192,0,8192,323.23865,323.521758,12754.187627,1645.07479,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0008_scalable_multiworkflow_v2_n16_k4_marconi_style_r00_w16_a16384_f01_b1,scalable_multiworkflow_v2_n16,4,Marconi-style,W16_A16384_F01-B1,scalable_multiworkflow_v2_n16:K=4:Marconi-style:T=16384:E=0:G=16384,15,0,1,True,16384,0,16384,16384,0,16384,657.312997,657.644593,13237.679022,1821.271717,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0009_scalable_multiworkflow_v2_n16_k4_marconi_style_r00_w16_a32768_f01_b1,scalable_multiworkflow_v2_n16,4,Marconi-style,W16_A32768_F01-B1,scalable_multiworkflow_v2_n16:K=4:Marconi-style:T=32768:E=16384:G=16384,1,0,1,True,32768,16384,16384,32768,16384,16384,742.593207,742.914733,12265.522288,1666.096307,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
formal_warmup_0010_scalable_multiworkflow_v2_n16_k4_marconi_style_r00_w16_a32768_f02_b1,scalable_multiworkflow_v2_n16,4,Marconi-style,W16_A32768_F02-B1,scalable_multiworkflow_v2_n16:K=4:Marconi-style:T=32768:E=32768:G=0,14,0,1,True,32768,32768,0,32768,32768,0,38.189168,38.58227,12432.074749,1878.381424,True,True,0,PASS,,,"[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A32768_F08_MAIN"", ""W16_A32768_F04_MAIN"", ""W16_A32768_F02_MAIN"", ""W16_A32768_F01_SHALLOW""]","[""W16_A04096_F01_MAIN"", ""W16_A04096_F01_SHALLOW"", ""W16_A04096_F02_MAIN"", ""W16_A04096_F04_MAIN"", ""W16_A04096_F08_MAIN"", ""W16_A08192_F01_MAIN"", ""W16_A08192_F01_SHALLOW"", ""W16_A08192_F02_MAIN"", ""W16_A08192_F04_MAIN"", ""W16_A08192_F08_MAIN"", ""W16_A16384_F01_MAIN"", ""W16_A16384_F01_SHALLOW"", ""W16_A16384_F02_MAIN"", ""W16_A16384_F04_MAIN"", ""W16_A16384_F08_MAIN"", ""W16_A32768_F01_MAIN""]","{""allocator_safety"": true, ""fa_safety"": true, ""mamba_safety"": true, ""sanity_check"": true, ""tree_safety"": true}"
