PID                 PPID                USER                STARTED             COMMAND
2584637             2584606             root                Wed                 Sep 2 20:35:56 2026 python3 -m sglang.launch_server --model-path /model --tokenizer-path /model --host 0.0.0.0 --port 30000 --tp-size 1 --served-model-name Qwen3.5-9B --context-length 131072
2585030             2584637             root                Wed                 Sep 2 20:36:17 2026 /usr/bin/python3 -c from multiprocessing.resource_tracker import main;main(27)
2585031             2584637             root                Wed                 Sep 2 20:36:17 2026 sglang::scheduler
2585032             2584637             root                Wed                 Sep 2 20:36:17 2026 sglang::detokenizer
2586010             2585031             root                Wed                 Sep 2 20:37:20 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586101             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586103             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586104             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586106             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586108             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
