source,subset,target_tokens,target_ki,gap_tokens,gap_ki,measured_phi_ms
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,32768,32.0,4096,4.0,174.0061789166667
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,32768,32.0,8192,8.0,364.18907866666666
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,32768,32.0,16384,16.0,718.45350925
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,32768,32.0,32768,32.0,1436.8068299999998
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,65536,64.0,4096,4.0,217.33699575
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,65536,64.0,8192,8.0,450.74469066666666
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,65536,64.0,16384,16.0,905.4257701666667
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,65536,64.0,32768,32.0,1763.3288315833333
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,98304,96.0,4096,4.0,258.9579289166667
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,98304,96.0,8192,8.0,537.8070055833334
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,98304,96.0,16384,16.0,1081.7345874166665
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,98304,96.0,32768,32.0,2108.915402
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,131072,128.0,4096,4.0,302.24542533333334
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,131072,128.0,8192,8.0,622.90569875
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,131072,128.0,16384,16.0,1259.7553484166667
evaluation/runtime_artifacts/recovery_position_audit_20260826_144654_852303/position_matrix_summary.csv,position_matrix,131072,128.0,32768,32.0,2449.5437129166667
evaluation/runtime_artifacts/recovery_profiler_128k_20260826_133712_596813/summary.csv,long_gap,131072,128.0,49152,48.0,3594.017091166667
evaluation/runtime_artifacts/recovery_profiler_128k_20260826_133712_596813/summary.csv,long_gap,131072,128.0,65536,64.0,4634.219929916667
evaluation/runtime_artifacts/recovery_profiler_128k_20260826_133712_596813/summary.csv,long_gap,131072,128.0,98304,96.0,6467.0878240833335
evaluation/runtime_artifacts/recovery_profiler_128k_20260826_133712_596813/summary.csv,long_gap,131072,128.0,131072,128.0,7931.97532225
