source,case_id,target_H,target_E,target_gap,repetition,is_warmup,gap_order_position,execution_order_position,status,correctness_pass,gap_match,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,request_input_tokens,failure_stage,error,fa_preserved,safety_pass,selected_checkpoint_ids,evicted_checkpoint_ids,fa_allocator,safety,server_metadata
Step 10D.3 独立留出测量,heldout_warmup_r00_p00_t81920_g10240,81920,71680,10240,0,True,0,0,PASS,True,True,81920,71680,10240,632.588571,633.278569,81984,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 71680, ""cached_tokens_details"": {""device"": 71680, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.6319595240056515, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p00_t81920_g10240_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759028.4299731, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p01_t114688_g57344,114688,57344,57344,0,True,1,1,PASS,True,True,114688,57344,57344,3708.682985,3709.318935,114752,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_102400"", ""PROFILE_DEEP""]","{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 57344, ""cached_tokens_details"": {""device"": 57344, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 3.707997664809227, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p01_t114688_g57344_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759039.3061907, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p02_t114688_g28672,114688,86016,28672,0,True,2,2,PASS,True,True,114688,86016,28672,1974.612767,1975.466996,114752,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 86016, ""cached_tokens_details"": {""device"": 86016, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.973837437108159, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p02_t114688_g28672_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759050.0859442, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p03_t81920_g0,81920,81920,0,0,True,3,3,PASS,True,True,81920,81920,0,485.14199,485.731925,81984,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 81920, ""cached_tokens_details"": {""device"": 81920, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.4843008790630847, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p03_t81920_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759055.755486, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p04_t114688_g86016,114688,28672,86016,0,True,4,4,PASS,True,True,114688,28672,86016,5237.136713,5237.934208,114752,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_73728"", ""PROFILE_DEEP""]","{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 28672, ""cached_tokens_details"": {""device"": 28672, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 5.23634621896781, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p04_t114688_g86016_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759070.0599396, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p05_t114688_g14336,114688,100352,14336,0,True,5,5,PASS,True,True,114688,100352,14336,1021.301501,1022.147482,114752,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 100352, ""cached_tokens_details"": {""device"": 100352, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.020612144144252, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p05_t114688_g14336_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759078.2187777, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p06_t114688_g0,114688,114688,0,0,True,6,6,PASS,True,True,114688,114688,0,39.955974,40.778584,114752,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 114688, ""cached_tokens_details"": {""device"": 114688, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.039211877854540944, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p06_t114688_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759085.0873506, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p07_t49152_g24576,49152,24576,24576,0,True,7,7,PASS,True,True,49152,24576,24576,1241.684735,1242.165434,49216,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 24576, ""cached_tokens_details"": {""device"": 24576, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.2409924790263176, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p07_t49152_g24576_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759089.3783073, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p08_t49152_g12288,49152,36864,12288,0,True,8,8,PASS,True,True,49152,36864,12288,630.181453,630.72498,49216,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 36864, ""cached_tokens_details"": {""device"": 36864, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.6294742380268872, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p08_t49152_g12288_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759093.100765, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_warmup_r00_p09_t49152_g36864,49152,12288,36864,0,True,9,9,PASS,True,True,49152,12288,36864,1810.116583,1810.541644,49216,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 12288, ""cached_tokens_details"": {""device"": 12288, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.8093710271641612, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_warmup_r00_p09_t49152_g36864_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787759098.0723073, ""weight_version"": ""default""}"
