source,case_id,target_H,target_E,target_gap,repetition,is_warmup,gap_order_position,execution_order_position,status,correctness_pass,gap_match,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,request_input_tokens,failure_stage,error,fa_preserved,safety_pass,selected_checkpoint_ids,evicted_checkpoint_ids,fa_allocator,safety,server_metadata
Step 9D 原实现的当前环境复现,profile_warmup_r00_p02_g8192,32768,24576,8192,0,True,2,2,PASS,True,True,32768,24576,8192,389.130546,389.566519,32832,,,,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 24576, ""cached_tokens_details"": {""device"": 24576, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.38822046807035804, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r00_p02_g8192_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755674.3228238, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r00_p04_g4096,32768,28672,4096,0,True,4,4,PASS,True,True,32768,28672,4096,204.858129,205.270683,32832,,,,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 28672, ""cached_tokens_details"": {""device"": 28672, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.20400196802802384, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r00_p04_g4096_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755676.6827407, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r00_p05_g32768,32768,0,32768,0,True,5,5,PASS,True,True,32768,0,32768,1418.580906,1418.996208,32832,,,,True,[],"[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 0, ""cached_tokens_details"": null, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.4177482740487903, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r00_p05_g32768_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755679.9218082, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r00_p06_g16384,32768,16384,16384,0,True,6,6,PASS,True,True,32768,16384,16384,738.178035,738.592549,32832,,,,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 16384, ""cached_tokens_details"": {""device"": 16384, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.737349723931402, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r00_p06_g16384_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755682.9638934, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r00_p07_g0,32768,32768,0,0,True,7,7,PASS,True,True,32768,32768,0,479.889874,480.368534,32832,,,,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 32768, ""cached_tokens_details"": {""device"": 32768, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.4790629828348756, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r00_p07_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755685.44951, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r01_p01_g8192,32768,24576,8192,1,True,1,10,PASS,True,True,32768,24576,8192,387.021636,387.433423,32832,,,,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 24576, ""cached_tokens_details"": {""device"": 24576, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.38618468306958675, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r01_p01_g8192_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755687.8368428, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r01_p03_g4096,32768,28672,4096,1,True,3,12,PASS,True,True,32768,28672,4096,201.91459,202.285241,32832,,,,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 28672, ""cached_tokens_details"": {""device"": 28672, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.20104168495163321, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r01_p03_g4096_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755690.2437687, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r01_p04_g32768,32768,0,32768,1,True,4,13,PASS,True,True,32768,0,32768,1421.160976,1421.591508,32832,,,,True,[],"[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 0, ""cached_tokens_details"": null, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.4203216200694442, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r01_p04_g32768_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755693.4868276, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r01_p05_g16384,32768,16384,16384,1,True,5,14,PASS,True,True,32768,16384,16384,741.039853,741.425417,32832,,,,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 16384, ""cached_tokens_details"": {""device"": 16384, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.7402593099977821, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r01_p05_g16384_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755696.5866342, ""weight_version"": ""default""}"
Step 9D 原实现的当前环境复现,profile_warmup_r01_p06_g0,32768,32768,0,1,True,6,15,PASS,True,True,32768,32768,0,35.010653,35.363578,32832,,,,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 358570, ""before_available_size"": 358570}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 32768, ""cached_tokens_details"": {""device"": 32768, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.03452135203406215, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step9d_profile_warmup_r01_p06_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787755698.5152793, ""weight_version"": ""default""}"
