case_id,target_gap,target_H,target_E,repetition,is_warmup,gap_order_position,execution_order_position,status,correctness_pass,gap_match,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,request_input_tokens,failure_stage,error,fa_preserved,safety_pass,selected_checkpoint_ids,evicted_checkpoint_ids,fa_allocator,safety,server_metadata
profile128k_warmup_r00_p00_g16384,16384,131072,114688,0,True,0,0,PASS,True,True,131072,114688,16384,1262.735743,1263.791062,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 114688, ""cached_tokens_details"": {""device"": 114688, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.261847754009068, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p00_g16384_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751509.6738732, ""weight_version"": ""default""}"
profile128k_warmup_r00_p01_g49152,49152,131072,81920,0,True,1,1,PASS,True,True,131072,81920,49152,3531.688902,3532.483236,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_126976"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 81920, ""cached_tokens_details"": {""device"": 81920, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 3.5303548271767795, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p01_g49152_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751523.6108973, ""weight_version"": ""default""}"
profile128k_warmup_r00_p02_g32768,32768,131072,98304,0,True,2,2,PASS,True,True,131072,98304,32768,2419.88771,2420.896816,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 98304, ""cached_tokens_details"": {""device"": 98304, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 2.4182920288294554, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p02_g32768_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751535.1556327, ""weight_version"": ""default""}"
profile128k_warmup_r00_p03_g4096,4096,131072,126976,0,True,3,3,PASS,True,True,131072,126976,4096,338.728433,339.502301,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 126976, ""cached_tokens_details"": {""device"": 126976, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.3370026790071279, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p03_g4096_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751545.6064866, ""weight_version"": ""default""}"
profile128k_warmup_r00_p04_g8192,8192,131072,122880,0,True,4,4,PASS,True,True,131072,122880,8192,659.594614,660.568287,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 122880, ""cached_tokens_details"": {""device"": 122880, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.6585991210304201, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p04_g8192_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751555.7349596, ""weight_version"": ""default""}"
profile128k_warmup_r00_p05_g131072,131072,131072,0,0,True,5,5,PASS,True,True,131072,0,131072,7723.745856,7724.810639,131136,,,True,True,[],"[""PROFILE_CLEANUP_45056"", ""PROFILE_CLEANUP_90112"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 0, ""cached_tokens_details"": null, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 7.722200558055192, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p05_g131072_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751574.6035473, ""weight_version"": ""default""}"
profile128k_warmup_r00_p06_g65536,65536,131072,65536,0,True,6,6,PASS,True,True,131072,65536,65536,4556.172125,4557.000277,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_110592"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 65536, ""cached_tokens_details"": {""device"": 65536, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 4.554635279113427, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p06_g65536_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751589.7198741, ""weight_version"": ""default""}"
profile128k_warmup_r00_p07_g0,0,131072,131072,0,True,7,7,PASS,True,True,131072,131072,0,494.930442,496.040043,131136,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 131072, ""cached_tokens_details"": {""device"": 131072, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.49343349994160235, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p07_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751599.8752744, ""weight_version"": ""default""}"
profile128k_warmup_r00_p08_g98304,98304,131072,32768,0,True,8,8,PASS,True,True,131072,32768,98304,6384.843696,6385.75312,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_122880"", ""PROFILE_CLEANUP_77824"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 32768, ""cached_tokens_details"": {""device"": 32768, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 6.383145204978064, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r00_p08_g98304_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751618.4046218, ""weight_version"": ""default""}"
profile128k_warmup_r01_p00_g49152,49152,131072,81920,1,True,0,9,PASS,True,True,131072,81920,49152,3582.026608,3582.762678,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_126976"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 81920, ""cached_tokens_details"": {""device"": 81920, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 3.580653019947931, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_warmup_r01_p00_g49152_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787751631.3057802, ""weight_version"": ""default""}"
