scenario,budget_checkpoints,policy,total_cases,gap_match_count,safety_pass_count,total_planning_gap,total_runtime_gap,planning_executable_prefix_ratio,runtime_executable_prefix_ratio,mean_request_e2e_ms,selected_checkpoint_ids
scalable_multiworkflow_v2_n16,4,Global-LRU,5,5,5,45056,45056,0.5217391304347826,0.5217391304347826,406.0406984295696,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW
scalable_multiworkflow_v2_n16,4,KVFlow-style,5,5,5,45056,45056,0.5217391304347826,0.5217391304347826,394.63353720493615,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW
scalable_multiworkflow_v2_n16,4,Marconi-style,5,5,5,45056,45056,0.5217391304347826,0.5217391304347826,403.88227039948106,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW
scalable_multiworkflow_v2_n16,4,FlowState,6,6,6,61440,61440,0.4444444444444444,0.4444444444444444,463.8164535087223,W16_A32768_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F04_MAIN
scalable_multiworkflow_v2_n16,12,Global-LRU,5,5,5,12288,12288,0.8235294117647058,0.8235294117647058,124.0650957915932,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN
scalable_multiworkflow_v2_n16,12,KVFlow-style,5,5,5,12288,12288,0.8235294117647058,0.8235294117647058,125.4203088581562,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN
scalable_multiworkflow_v2_n16,12,Marconi-style,5,5,5,12288,12288,0.8235294117647058,0.8235294117647058,125.03889854997396,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN
scalable_multiworkflow_v2_n16,12,FlowState,6,6,6,12288,12288,0.8333333333333334,0.8333333333333334,108.13378177893658,W16_A32768_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F02_MAIN;W16_A08192_F04_MAIN;W16_A32768_F01_MAIN;W16_A04096_F08_MAIN;W16_A16384_F01_MAIN;W16_A08192_F02_MAIN
sota_signal_stress_v1,4,Global-LRU,3,3,3,40960,40960,0.4444444444444444,0.4444444444444444,641.5734977150956,W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN
sota_signal_stress_v1,4,KVFlow-style,4,4,4,40960,40960,0.5,0.5,485.63885199837387,W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F1_S1_Rrecent_MAIN
