scenario,K,policy,measured_case_count,weighted_request_count,ttft_weighted_mean_ms,ttft_weighted_median_ms,ttft_weighted_p95_ms,latency_weighted_mean_ms,latency_weighted_median_ms,latency_weighted_p95_ms,ttft_mean_reduction_vs_global_lru,latency_mean_reduction_vs_global_lru
scalable_multiworkflow_v2_n16,4,FlowState,60,600.0,251.195800505,171.309643,687.724358,251.524616395,171.579214,688.090839,0.19380232684300935,0.19355788089094733
scalable_multiworkflow_v2_n16,4,Global-LRU,50,600.0,311.58090486833333,321.815642,666.482117,311.8941960433333,322.073048,666.814032,0.0,0.0
scalable_multiworkflow_v2_n16,4,KVFlow-style,50,600.0,312.30592247833334,322.501869,669.894181,312.64190976,322.792197,670.236368,-0.0023269000079012675,-0.0023973312942405524
scalable_multiworkflow_v2_n16,4,Marconi-style,50,600.0,310.832421485,323.263295,663.738141,311.1467791283333,323.55659,664.079989,0.0024022119829507143,0.0023963796841417685
scalable_multiworkflow_v2_n16,12,FlowState,60,600.0,59.633407585,39.508345,173.512284,59.95030934166667,39.88279,173.78065,0.31778112273941883,0.3167165085892995
scalable_multiworkflow_v2_n16,12,Global-LRU,50,600.0,87.41096087000001,40.651029,175.717637,87.73855961,40.981613,175.987361,0.0,0.0
scalable_multiworkflow_v2_n16,12,KVFlow-style,50,600.0,86.89663516,40.124198,176.078892,87.2217747,40.394509,176.335175,0.005883995609714528,0.00589005463842944
scalable_multiworkflow_v2_n16,12,Marconi-style,50,600.0,87.28677566,41.406718,176.359694,87.613551275,41.680575,176.611827,0.0014207052383819353,0.001424782165967333
sota_signal_stress_v1,4,FlowState,30,400.0,337.09863234999995,324.900421,1552.886428,337.47285457,325.199437,1553.388884,0.40250972405001406,0.4022320635811243
sota_signal_stress_v1,4,Global-LRU,30,400.0,564.190993425,330.42975,1565.082688,564.5549619,330.752092,1565.554303,0.0,0.0
sota_signal_stress_v1,4,KVFlow-style,40,400.0,710.7382822125,331.984755,1547.498989,711.1113847125,332.289617,1547.934461,-0.25974765725674626,-0.25959637715213224
sota_signal_stress_v1,4,Marconi-style,30,400.0,560.2086713250001,329.241299,1546.522891,560.572254525,329.423249,1547.003059,0.007058464502995127,0.007054596352490262
sota_signal_stress_v1,8,FlowState,40,400.0,219.78845433000004,39.615626,1542.486905,220.13533151,39.989025,1542.986796,0.5514410921707503,0.5510620933588801
sota_signal_stress_v1,8,Global-LRU,40,400.0,489.98793802499995,42.455707,1561.043639,490.34694609999997,42.877899,1561.508403,0.0,0.0
sota_signal_stress_v1,8,KVFlow-style,40,400.0,491.095758525,42.567846,1563.629693,491.457609025,42.999531,1564.108682,-0.0022609138185428895,-0.002265055250845871
sota_signal_stress_v1,8,Marconi-style,20,400.0,187.23488600000002,41.679349,339.711397,187.6034387,42.10402,340.005331,0.6178785813489821,0.6174067357977576
