workflow_count,budget_checkpoints,budget_ratio,policy_name,selected_checkpoint_ids,total_recovery_gap,mean_recovery_gap_per_request,planning_executable_prefix_ratio,estimated_recovery_cost_ms,selection_runtime_ms
8,2,0.25,FlowState,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN,110592,5529.6,0.64,5058.591052656993,1.3364620972424746
8,2,0.25,Global-LRU,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,159744,7987.2,0.48,7421.539757866412,0.023239990696310997
8,2,0.25,Equal-Share,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN,286720,14336.0,0.06666666666666667,13252.942797262222,0.06986898370087147
8,2,0.25,Recovery-Only,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,143360,7168.0,0.5333333333333333,6649.048451799899,1.1191428638994694
8,2,0.25,Workflow-Only,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN,258048,12902.4,0.16,11917.314040241763,0.2103650476783514
8,2,0.25,KVFlow-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,159744,7987.2,0.48,7421.539757866412,0.15677697956562042
8,2,0.25,Marconi-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW,159744,7987.2,0.48,7421.539757866412,0.07510511204600334
8,2,0.25,Oracle,W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,110592,5529.6,0.64,5058.591052656993,0.0011380761861801147
8,4,0.5,FlowState,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A08192_F04_MAIN;W08_A32768_F01_MAIN,45056,2252.8,0.8533333333333334,2044.7255144827068,2.4864710867404938
8,4,0.5,Global-LRU,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,77824,3891.2,0.7466666666666667,3559.083227533847,0.020216917619109154
8,4,0.5,Equal-Share,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN,245760,12288.0,0.2,11359.995655948296,0.0666340347379446
8,4,0.5,Recovery-Only,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN,61440,3072.0,0.8,2786.591921467334,1.0929428972303867
8,4,0.5,Workflow-Only,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F04_MAIN,61440,3072.0,0.8,2829.317515483126,0.37448504008352757
8,4,0.5,KVFlow-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,77824,3891.2,0.7466666666666667,3559.083227533847,0.13862201012670994
8,4,0.5,Marconi-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN,77824,3891.2,0.7466666666666667,3559.083227533847,0.06861099973320961
8,4,0.5,Oracle,W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,45056,2252.8,0.8533333333333334,2044.7255144827068,0.0010239891707897186
8,6,0.75,FlowState,W08_A32768_F04_MAIN;W08_A16384_F04_MAIN;W08_A08192_F04_MAIN;W08_A32768_F01_MAIN;W08_A16384_F01_MAIN;W08_A04096_F04_MAIN,12288,614.4,0.96,557.3183842934668,3.6098898854106665
8,6,0.75,Global-LRU,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN;W08_A16384_F01_SHALLOW;W08_A16384_F01_MAIN,61440,3072.0,0.8,2786.591921467334,0.02077617682516575
8,6,0.75,Equal-Share,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN,163840,8192.0,0.4666666666666667,7497.539125615731,0.06685289554297924
8,6,0.75,Recovery-Only,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A16384_F01_SHALLOW,61440,3072.0,0.8,2786.591921467334,1.0864799842238426
