budget_checkpoints,policy_name,selected_checkpoint_ids,selected_factor_tuples,total_recovery_gap_tokens,planning_executable_prefix_ratio,estimated_recovery_cost_ms,used_budget_checkpoints,used_budget_bytes,anchor_8192,anchor_32768,fanout_1,fanout_4,steps_1,steps_3,recency_old,recency_recent
4,Global-LRU,W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN,32768|4|3|recent;32768|4|1|recent;32768|1|3|recent;32768|1|1|recent,491520,0.4,22566.866816487163,4,206045184,0,4,2,2,2,2,0,4
4,Equal-Share,W_A08192_F1_S1_Rold_MAIN;W_A08192_F1_S1_Rrecent_MAIN;W_A08192_F1_S3_Rold_MAIN;W_A08192_F1_S3_Rrecent_MAIN,8192|1|1|old;8192|1|1|recent;8192|1|3|old;8192|1|3|recent,786432,0.04,36047.587354667485,4,206045184,4,0,4,0,2,2,2,2
4,Workflow-Only,W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN,8192|4|1|old;8192|4|1|recent;8192|4|3|old;8192|4|3|recent,688128,0.16,31504.514215514064,4,206045184,4,0,0,4,2,2,2,2
4,Recovery-Only,W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN,32768|1|1|old;32768|1|1|recent;32768|1|3|old;32768|1|3|recent,688128,0.16,31563.91376722604,4,206045184,0,4,4,0,2,2,2,2
4,KVFlow-style,W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F1_S1_Rrecent_MAIN,32768|4|1|recent;32768|1|1|recent;8192|4|1|recent;8192|1|1|recent,614400,0.25,28171.45880078897,4,206045184,2,2,2,2,4,0,0,4
4,Marconi-style,W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN,32768|4|3|recent;32768|4|1|recent;32768|1|3|recent;32768|1|1|recent,491520,0.4,22566.866816487163,4,206045184,0,4,2,2,2,2,0,4
4,FlowState,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,32768|4|1|old;32768|4|1|recent;32768|4|3|old;32768|4|3|recent,294912,0.64,13569.819865748286,4,206045184,0,4,0,4,2,2,2,2
4,Oracle,W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,32768|4|1|old;32768|4|1|recent;32768|4|3|old;32768|4|3|recent,294912,0.64,13569.819865748286,4,206045184,0,4,0,4,2,2,2,2
8,Global-LRU,W_A32768_F4_S3_Rrecent_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A08192_F4_S3_Rrecent_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F1_S3_Rrecent_MAIN;W_A08192_F1_S1_Rrecent_MAIN,32768|4|3|recent;32768|4|1|recent;32768|1|3|recent;32768|1|1|recent;8192|4|3|recent;8192|4|1|recent;8192|1|3|recent;8192|1|1|recent,409600,0.5,18780.972533859313,8,412090368,4,4,4,4,4,4,0,8
8,Equal-Share,W_A08192_F1_S1_Rold_MAIN;W_A08192_F1_S1_Rrecent_MAIN;W_A08192_F1_S3_Rold_MAIN;W_A08192_F1_S3_Rrecent_MAIN;W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN,8192|1|1|old;8192|1|1|recent;8192|1|3|old;8192|1|3|recent;8192|4|1|old;8192|4|1|recent;8192|4|3|old;8192|4|3|recent,655360,0.2,29990.156502462924,8,412090368,8,0,4,4,4,4,4,4
8,Workflow-Only,W_A08192_F4_S1_Rold_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F4_S3_Rold_MAIN;W_A08192_F4_S3_Rrecent_MAIN;W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,8192|4|1|old;8192|4|1|recent;8192|4|3|old;8192|4|3|recent;32768|4|1|old;32768|4|1|recent;32768|4|3|old;32768|4|3|recent,163840,0.8,7512.389013543725,8,412090368,4,4,0,8,4,4,4,4
8,Recovery-Only,W_A32768_F1_S1_Rold_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A32768_F1_S3_Rold_MAIN;W_A32768_F1_S3_Rrecent_MAIN;W_A32768_F4_S1_Rold_MAIN;W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F4_S3_Rold_MAIN;W_A32768_F4_S3_Rrecent_MAIN,32768|1|1|old;32768|1|1|recent;32768|1|3|old;32768|1|3|recent;32768|4|1|old;32768|4|1|recent;32768|4|3|old;32768|4|3|recent,163840,0.8,7571.7885652557015,8,412090368,0,8,4,4,4,4,4,4
8,KVFlow-style,W_A32768_F4_S1_Rrecent_MAIN;W_A32768_F1_S1_Rrecent_MAIN;W_A08192_F4_S1_Rrecent_MAIN;W_A08192_F1_S1_Rrecent_MAIN;W_A32768_F4_S1_Rold_MAIN;W_A32768_F1_S1_Rold_MAIN;W_A08192_F4_S1_Rold_MAIN;W_A08192_F1_S1_Rold_MAIN,32768|4|1|recent;32768|1|1|recent;8192|4|1|recent;8192|1|1|recent;32768|4|1|old;32768|1|1|old;8192|4|1|old;8192|1|1|old,409600,0.5,18780.972533859313,8,412090368,4,4,4,4,8,0,4,4
