phase,repetition,order_position,rid,expected_replay_tokens,actual_replay_tokens,actual_extend_tokens,fa_kv_hit_tokens,executable_prefix_tokens,mamba_boundary_tokens,branching_tokens,extend_start_tokens,extend_end_tokens,recovery_latency_ms,request_e2e_latency_ms,client_wall_ms,cached_tokens_reported,completion_tokens,num_retractions,mamba_evictions_before_measure,runtime_match_records,runtime_extend_records,runtime_timing_records,runtime_error_lines,batch_gt_one_lines,server_log_absolute_line,valid,invalid_reason
sweep,0,0,sweep_e0_r0_MEASURE,0,0,1,32768,32768,32768,,32768,32769,32.19802584499121,32.20014995895326,36.41175292432308,32768,1,0,13,1,1,1,0,0,6838,True,
sweep,0,1,sweep_e4096_r0_MEASURE,4096,4096,4097,32768,28672,28672,32768,28672,32769,207.60518801398575,207.60872098617256,212.3159810435027,28672,1,0,14,1,1,1,0,0,7024,True,
sweep,0,2,sweep_e16384_r0_MEASURE,16384,16384,16385,32768,16384,16384,32768,16384,32769,791.1764308810234,791.1802490707487,795.9684222005308,16384,1,0,14,1,1,1,0,0,7212,True,
sweep,0,3,sweep_e1024_r0_MEASURE,1024,1024,1025,32768,31744,31744,32768,31744,32769,63.98402503691614,63.98695218376815,68.92475998029113,31744,1,0,14,1,1,1,0,0,7400,True,
sweep,0,4,sweep_e32768_r0_MEASURE,32768,32768,32769,32768,0,0,32768,0,32769,1509.1234238352627,1509.1275349259377,1513.8815769460052,0,1,0,14,1,1,1,0,0,7588,True,
sweep,0,5,sweep_e8192_r0_MEASURE,8192,8192,8193,32768,24576,24576,32768,24576,32769,410.9631502069533,410.96691810525954,415.7668729312718,24576,1,0,14,1,1,1,0,0,7775,True,
sweep,1,0,sweep_e4096_r1_MEASURE,4096,4096,4097,32768,28672,28672,32768,28672,32769,211.21406205929816,211.2175968941301,215.55164805613458,28672,1,0,14,1,1,1,0,0,7963,True,
sweep,1,1,sweep_e16384_r1_MEASURE,16384,16384,16385,32768,16384,16384,32768,16384,32769,811.003586044535,811.007492011413,815.764332190156,16384,1,0,14,1,1,1,0,0,8151,True,
sweep,1,2,sweep_e1024_r1_MEASURE,1024,1024,1025,32768,31744,31744,32768,31744,32769,64.7639730013907,64.7666989825666,68.45574197359383,31744,1,0,14,1,1,1,0,0,8339,True,
sweep,1,3,sweep_e32768_r1_MEASURE,32768,32768,32769,32768,0,0,32768,0,32769,1500.624303938821,1500.6287219002843,1505.3737389389426,0,1,0,14,1,1,1,0,0,8527,True,
sweep,1,4,sweep_e8192_r1_MEASURE,8192,8192,8193,32768,24576,24576,32768,24576,32769,406.5738939680159,406.5775917842984,411.08141699805856,24576,1,0,14,1,1,1,0,0,8714,True,
sweep,1,5,sweep_e0_r1_MEASURE,0,0,1,32768,32768,32768,,32768,32769,33.41442113742232,33.418034203350544,37.88516786880791,32768,1,0,13,1,1,1,0,0,8895,True,
sweep,2,0,sweep_e16384_r2_MEASURE,16384,16384,16385,32768,16384,16384,32768,16384,32769,802.4269880261272,802.4308511521667,806.2764469068497,16384,1,0,14,1,1,1,0,0,9081,True,
sweep,2,1,sweep_e1024_r2_MEASURE,1024,1024,1025,32768,31744,31744,32768,31744,32769,64.17678203433752,64.18024399317801,68.25806898996234,31744,1,0,14,1,1,1,0,0,9269,True,
sweep,2,2,sweep_e32768_r2_MEASURE,32768,32768,32769,32768,0,0,32768,0,32769,1532.2070638649166,1532.210934907198,1536.7769428994507,0,1,0,14,1,1,1,0,0,9457,True,
sweep,2,3,sweep_e8192_r2_MEASURE,8192,8192,8193,32768,24576,24576,32768,24576,32769,412.9157329443842,412.91970992460847,417.1974940691143,24576,1,0,14,1,1,1,0,0,9644,True,
sweep,2,4,sweep_e0_r2_MEASURE,0,0,1,32768,32768,32768,,32768,32769,31.447262968868017,31.44983993843198,34.92924803867936,32768,1,0,13,1,1,1,0,0,9825,True,
sweep,2,5,sweep_e4096_r2_MEASURE,4096,4096,4097,32768,28672,28672,32768,28672,32769,211.10267797484994,211.10617299564183,215.55101708509028,28672,1,0,14,1,1,1,0,0,10011,True,
sweep,3,0,sweep_e1024_r3_MEASURE,1024,1024,1025,32768,31744,31744,32768,31744,32769,65.2571520768106,65.26079191826284,69.6578910574317,31744,1,0,14,1,1,1,0,0,10199,True,
sweep,3,1,sweep_e32768_r3_MEASURE,32768,32768,32769,32768,0,0,32768,0,32769,1540.731207933277,1540.7348659355193,1545.6217299215496,0,1,0,14,1,1,1,0,0,10387,True,
sweep,3,2,sweep_e8192_r3_MEASURE,8192,8192,8193,32768,24576,24576,32768,24576,32769,407.6206120662391,407.6242751907557,411.5754240192473,24576,1,0,14,1,1,1,0,0,10574,True,
sweep,3,3,sweep_e0_r3_MEASURE,0,0,1,32768,32768,32768,,32768,32769,32.37372194416821,32.37761999480426,36.5215209312737,32768,1,0,13,1,1,1,0,0,10755,True,
sweep,3,4,sweep_e4096_r3_MEASURE,4096,4096,4097,32768,28672,28672,32768,28672,32769,213.5545709170401,213.55789294466376,218.17920613102615,28672,1,0,14,1,1,1,0,0,10941,True,
sweep,3,5,sweep_e16384_r3_MEASURE,16384,16384,16385,32768,16384,16384,32768,16384,32769,804.8650280106813,804.8689481802285,809.6486849244684,16384,1,0,14,1,1,1,0,0,11129,True,
sweep,4,0,sweep_e32768_r4_MEASURE,32768,32768,32769,32768,0,0,32768,0,32769,1531.8815470673144,1531.8851759657264,1537.4461920000613,0,1,0,14,1,1,1,0,0,11317,True,
sweep,4,1,sweep_e8192_r4_MEASURE,8192,8192,8193,32768,24576,24576,32768,24576,32769,417.8944940213114,417.89816599339247,422.2891819663346,24576,1,0,14,1,1,1,0,0,11504,True,
sweep,4,2,sweep_e0_r4_MEASURE,0,0,1,32768,32768,32768,,32768,32769,33.043486066162586,33.04709098301828,37.63268701732159,32768,1,0,13,1,1,1,0,0,11685,True,
sweep,4,3,sweep_e4096_r4_MEASURE,4096,4096,4097,32768,28672,28672,32768,28672,32769,210.71364101953804,210.71722195483744,215.3032450005412,28672,1,0,14,1,1,1,0,0,11871,True,
sweep,4,4,sweep_e16384_r4_MEASURE,16384,16384,16385,32768,16384,16384,32768,16384,32769,812.3717547859997,812.375295907259,816.5759169496596,16384,1,0,14,1,1,1,0,0,12059,True,
sweep,4,5,sweep_e1024_r4_MEASURE,1024,1024,1025,32768,31744,31744,32768,31744,32769,64.0900069847703,64.09337418153882,68.25753208249807,31744,1,0,14,1,1,1,0,0,12247,True,
